error<br>Error validating access token: The user has not authorized application 483975525054185.<br>OAuthException<br>190<br>20160314080004 SAVE: 10_525978864088811_DataFb COUNT:0
20160314080007 SAVE: 12_134025370859_page_fans COUNT:91
20160314080011 SAVE: 12_134025370859_page_fans_city COUNT:88
20160314080030 SAVE: 12_134025370859_page_fans_country COUNT:88
20160314080041 SAVE: 12_134025370859_page_fans_gender_age COUNT:88
20160314080107 SAVE: 12_134025370859_page_views_external_referrals COUNT:83
20160314080114 SAVE: 12_134025370859_page_fans_by_like_source COUNT:54
20160314080118 SAVE: 12_134025370859_page_storytellers_by_age_gender COUNT:6
20160314080119 SAVE: 12_134025370859_DataFb COUNT:11
20160314080124 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080124 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080125 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080125 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080125 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080125 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080126 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080126 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080126 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080127 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080127 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080127 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080127 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080128 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080128 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080128 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080128 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080129 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080129 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080129 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080129 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080130 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080130 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080130 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080131 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080131 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080131 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080131 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080132 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080132 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080132 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080133 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080133 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080133 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080133 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080134 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080134 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080134 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080134 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080135 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080135 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080135 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080136 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080136 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080136 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080136 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080137 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080137 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080137 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080138 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080138 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080138 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080138 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080139 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080139 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080139 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080139 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080140 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080140 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080140 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080141 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080141 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080141 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080141 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080142 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080142 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080142 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080142 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080143 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080143 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080143 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080143 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080144 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080144 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080144 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080145 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080145 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080145 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080145 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080146 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080146 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080146 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080146 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080147 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080147 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080147 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080148 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080148 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080148 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080148 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080149 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080149 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080149 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080149 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080150 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080150 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080150 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080150 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080151 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080151 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080151 SAVE: 12_134025370859_DataFb_Posts COUNT:12
